SMILES,TITLE
CCOc1cccc2c1c(c[nH]2)CCNC(=O)C(C)O,s_22____9226532____7941096
CC(CC(=O)NCCc1c[nH]c2c1cc(cc2)OC)F,s_22____4839448____16890190
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CSCC#C,s_22____4839448____13040272
CC(C(=O)NCCc1c[nH]c2c1ccc(c2)Cl)[NH3+],s_240690b____7360096____3025692
c1cc2c(c(c1)Br)c(c[nH]2)CCNC(=O)CCl,s_270062____16430922____8147258
CC#CC(=O)NCCc1c[nH]c2c1cccc2C,s_22____5635330____9296322
CCC(=C)C(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____13206548
CCNC(=O)NCCc1c[nH]c2c1c(ccc2)F,s_2554____16900474____951600
COc1cccc2c1c(c[nH]2)CC[NH3+],EN300-367098
CC(C)C(=O)NCCc1cc2ccccc2[nH]1,s_22____7533902____337030
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)NCCCF,s_512____7344786____4839458
CC(=O)NCCCc1cc2c([nH]1)cc(cc2OC)OC,s_270062____7623638____15585492
CC(C(=O)NCCc1c[nH]c2c1cc(cc2)F)O,s_22____9631354____7941096
CCN(C(=O)C[NH2+]Cc1cc2cc(ccc2[nH]1)OC)OC,s_270004____11573550____16621896
CCOCCC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____3124140
CC(CNC(=O)N(C)CC#N)c1c[nH]c2c1cc(cc2)OC,s_272164____14971800____17348112
Cc1cccc2c1[nH]cc2CCNC(=O)CCl,s_270062____7619916____8147258
CC(C)NC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_512____158537____4839458
CC(=O)NCC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____58878
C[NH2+]CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_240690b____7354388____7368582
c1cc2c(cc1F)c(c[nH]2)CCNC(=O)C[NH3+],s_240690b____17029356____3025698
CCC(=C)C(=O)NCCc1c[nH]c2c1cccc2OC,s_22____15506616____13206548
CC(C)C(=O)NCCc1c[nH]c2c1ccc(c2)F,s_22____2366540____337030
CC(Cc1c[nH]c2c1cc(cc2)F)NC(=O)COC,s_22____13913040____59039
CC(=O)NCc1cc2cc(ccc2[nH]1)Br,s_22____8859024____58844
Cc1cccc2c1[nH]cc2CCNC(=O)CC#N,s_22____5635330____8794444
c1cc2c(cc1Cl)[nH]cc2CCNC(=O)CO,s_22____2228922____7941800
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=S)NC,s_8____13771014____83693
c1cc2c(cc1Br)c(c[nH]2)CCNC(=O)CCl,s_270062____12854088____8147258
CC(C)(CCl)C(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_270062____7617122____12187078
CN(C(=O)NCCc1c[nH]c2c1cccc2OC)OC,s_2708____15506640____8739002
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C[NH2+]C,s_240690b____13771088____7368582
CCNC(=O)NCCc1c[nH]c2c1c(ccc2)OCC,s_2554____9226558____951600
CC(CC(=O)NCCc1c[nH]c2c1ccc(c2)OC)[NH3+],s_240690b____13978894____7368602
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCCC[NH3+],s_270006b____8394006____11615982
COc1cccc2c1[nH]cc2CCNC(=O)CO,s_22____15506616____7941800
Cc1ccc2c(c1)[nH]cc2CCNC(=O)CCl,s_270062____16418028____8147258
COCC(=O)NCCc1c[nH]c2c1cccc2Br,s_22____16720536____59039
CC(C)(C[NH2+]Cc1cc2cc(ccc2[nH]1)OC)C(=O)NC,s_270004____8299360____16621896
c1cc2c(c[nH]c2c(c1)Br)CCNC(=O)C[NH3+],s_240690b____16720624____3025698
COc1cccc2c1cc([nH]2)C[NH2+]CC(CO)OC,s_270004____13952054____15269820
CC(C)CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_22____4839448____58916
CCC(=O)NCCc1c[nH]c2c1ccc(c2)Cl,s_22____2228922____58887
CC#CCNC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_512____7932012____13978836
c1c2c(cc(c1F)F)[nH]cc2CCNC(=O)CC[NH3+],s_240690b____13040954____3025680
CC(=O)NC(Cc1c[nH]c2c1ccc(c2)F)C(=O)[O-],s_274078a____12246866____12873778
CCC(=O)NCCc1c[nH]c2c1c(ccc2)OCC,s_22____9226532____58887
CC(C)(C[NH2+]Cc1cc2c([nH]1)cccc2OC)C(=O)OC,s_270004____8284638____15269820
Cc1ccc2c(c1)[nH]cc2CCNC(=O)C(C)O,s_22____9156166____7941096
CC(C(=O)N(C)C)[NH2+]Cc1cc2cc(ccc2[nH]1)OC,s_207____9284526____16621894
COc1cccc2c1[nH]cc2CCNC(=O)CCC[NH3+],s_240690b____15506692____3025682
CCON(C)C(=O)C[NH2+]Cc1cc2c([nH]1)cccc2OC,s_270004____11687778____15269820
c1cc2c(cc1O)c(c[nH]2)CCNC(=O)CCl,s_270062____13909784____8147258
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCCF,s_22____4839448____12105272
CCN(C(=O)C[NH2+]Cc1cc2cc(ccc2[nH]1)OC)OCC,s_270004____12216126____16621896
COCCC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____2909590
CCC(C[NH2+]Cc1cc2c([nH]1)cccc2OC)OC,s_270004____10345658____15269820
COc1ccc2c(c1)[nH]cc2CCNC(=O)CC(F)(F)F,s_22____13978824____1720042
CC#CC(=O)NCCc1c[nH]c2c1ccc(c2)F,s_22____2366540____9296322
CCC(=O)NC(C)c1[nH]c2ccc(cc2n1)OC,s_22____8929618____58887
c1ccc(cc1)COc2cccc3c2[nH]cc3CCNC(=O)CCl,s_270062____15775434____8147258
c1cc2c(c[nH]c2nc1)CCNC(=O)CC#N,s_22____13596594____8794444
CCCC(=O)NCCc1c[nH]c2c1ccc(c2)Cl,s_22____2228922____58866
COCC(=O)NCCc1cc2ccccc2[nH]1,s_22____7533902____59039
CCCC(=O)NCCc1c[nH]c2c1c(ccc2)C,s_22____3219394____58866
COc1ccc2c(c1)[nH]cc2CCNC(=O)CCl,s_270062____13978860____8147258
CC(=O)NC(Cc1c[nH]c2c1cc(cc2)OC)C(=O)OC,s_11a____14724372____53455
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)COCC=C,s_22____4839448____3489590
CCOCCC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_22____4839448____3124140
Cc1ccc2c(c1)[nH]cc2CCNC(=O)C[NH3+],s_240690b____11689238____3025698
c1ccc2c(c1)c(c[nH]2)CC(CO)NC(=O)CCl,s_270062____16412660____8147258
CCNC(=O)NCC(C)c1c[nH]c2c1cc(cc2)OC,s_2554____15754608____951600
c1cc2c(cc1Cl)c(c[nH]2)CCNC(=O)CO,s_22____6079110____7941800
CCOc1cccc2c1c(c[nH]2)CCNC(=O)C(C)C,s_22____9226532____337030
CC#CCNC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_512____7932012____13025528
CCOc1cccc2c1c(c[nH]2)CCNC(=O)CC(C)(C)C,s_22____9226532____294126
CC(CNC(=O)COC)c1c[nH]c2c1cc(cc2)OC,s_22____15754586____59039
c1cc2c(cc1Cl)c(c[nH]2)CCNC(=O)CON,s_240690b____7354134____13151248
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C,s_22____13771018____58844
CC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____58844
CC(C(=O)NCCc1c[nH]c2c1cccc2OC)O,s_22____15506616____7941096
COc1ccc2c(c1)[nH]cc2CCNC(=O)COCC#C,s_22____13978824____15498218
COc1cccc2c1[nH]cc2CCNC(=O)C(=O)N,s_22____15506616____12053348
CC(C(=O)NCCc1c[nH]c2c1ccc(c2)OC)O,s_22____13978824____7941096
CC(C(=O)NCCc1c[nH]c2c1ccc(c2)Cl)O,s_22____2228922____7941096
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)CO,s_22____13771018____7941800
c1cc2c(c[nH]c2nc1)CCNC(=O)CC[NH3+],s_240690b____17036658____3025680
COc1cccc2c1[nH]cc2CCNC(=O)CON,s_240690b____15506692____13151248
COc1ccc2c(c1)c(c[nH]2)CC(C(=O)OC)NC(=O)C=C,s_273270____16378568____10884640
COc1cccc2c1[nH]cc2CCNC(=O)C[NH3+],s_240690b____15506692____3025698
CCCCC(=O)NCCc1c[nH]c2c1cccc2OC,s_22____15506616____303718
Cc1cccc2c1[nH]cc2CCNC(=O)C(C)[NH3+],s_240690b____7363756____3025692
CSCC(=O)NCCc1c[nH]c2c1cccc2Br,s_22____16720536____60364
CC(C(=O)NCCc1cc2ccccc2[nH]1)O,s_22____7533902____7941096
CCCC(=O)NC(Cc1c[nH]c2c1cc(cc2)OC)C(=O)OC,s_11a____14724372____53479
CC(C)(Cc1c[nH]c2c1ccc(c2)OC)NC(=O)CCl,s_270062____15561760____8147258
COc1cccc2c1c(c[nH]2)CCNC(=O)C3CC3,s_22____13025516____58902
CC(C(=O)NCCc1c[nH]c2c1cc(cc2)O)O,s_22____13909752____7941096
CC(C)C(=O)NCCc1c[nH]c2c1cccn2,s_22____13596594____337030
CN(CCF)C(=O)NCCc1c[nH]c2c1cccc2OC,s_272164____14971852____17347350
CC=CCCC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____16726278
CN(C(=O)C[NH2+]Cc1cc2c([nH]1)cccc2OC)O,s_207____13973878____15269818
CCCCC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____303718
CCSCC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____14930376
CC1(N=N1)C[NH2+]Cc2cc3c([nH]2)cccc3OC,s_270004____16711614____15269820
CCC(=O)NCCc1c[nH]c2c1cccc2,s_527a____153889____156120
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C(CC)F,s_22____13771018____13756276
COc1cccc2c1c(c[nH]2)CCNC(=O)NCC#C,s_512____158631____13025528
COc1cccc2c1[nH]cc2CCNC(=O)NCC#C,s_512____158631____15506628
CC(C[NH3+])C(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_270006b____8394006____11616078
CCOc1cccc2c1c(c[nH]2)CCNC(=O)CSC,s_22____9226532____60364
COc1ccc2c(c1)[nH]cc2CCNC(=O)CCCC#C,s_22____13978824____9322364
CN(CC#N)C(=O)NCCc1c[nH]c2c1cccc2OC,s_272164____14971800____17347350
CC(Cc1c[nH]c2c1cc(c(c2)F)F)NC(=O)C,s_22____14190602____58844
COc1cccc2c1c(c[nH]2)CCNC(=O)CSC(F)F,s_22____13025516____10748158
CC=CC(=O)NCCc1c[nH]c2c1cccn2,s_22____13596594____12103014
COc1cccc2c1[nH]cc2CCNC(=O)NCC(=C)Br,s_512____2055224____15506628
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCl,s_270062____13771054____8147258
CC=CC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____12103014
CC(c1[nH]c2ccc(cc2n1)OC)NC(=O)CCl,s_270062____16426272____8147258
CC#CC(=O)NCCc1c[nH]c2c1ccc(c2)C,s_22____9156166____9296322
CC#CC(=O)NCCc1c[nH]c2c1c(cc(c2)F)F,s_22____15144084____9296322
