SMILES,TITLE,fragments,Hybrid2,docked_fragment,site
CC1CC[NH+](CC1)Cc2c[nH]c3c2cccc3,x0377,x0377,-9.612991,x1093,active-noncovalent
c1ccc2c(c1)CC[N@H+](C2)Cc3ccc(cc3)O,x0383,x0383,-9.579418,x0749,active-covalent
c1cc(ccc1C[NH2+]C2CCCCC2)O,x1121,x1121,-9.573311,x0678,active-noncovalent
c1cc(ccc1C[NH2+]C2CCCCC2)O,x0532,x0532,-9.573311,x0678,active-noncovalent
COC(=O)[C@@]1(CCCO1)Cc2ccc(cc2)F,x0854,x0854,-9.562133,x0678,active-noncovalent
c1ccc(cc1)CCNc2[nH]c3ccccc3n2,x1049,x1049,-9.556696,x0434,active-noncovalent
c1ccc(cc1)CCNc2[nH]c3ccccc3n2,x0463,x0463,-9.556696,x0434,active-noncovalent
CC(=O)Nc1ccccc1OCc2ccccc2,x0307,x0307,-9.520121,x0749,active-covalent
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x1387,x1387,-9.505221,x0072,active-noncovalent
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x0691,x0691,-9.505221,x0072,active-noncovalent
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x1466,x1466,-9.505221,x0072,active-noncovalent
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,x0765,x0765,-9.505221,x0072,active-noncovalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x0685,x0685,-9.492581,x0749,active-covalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x1463,x1463,-9.492581,x0749,active-covalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x0759,x0759,-9.492581,x0749,active-covalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x1435,x1435,-9.492581,x0749,active-covalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x1329,x1329,-9.492581,x0749,active-covalent
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x1413,x1413,-9.492581,x0749,active-covalent
c1ccc(cc1)NC(=O)NCCN2CCCC2=O,x0380,x0380,-9.487142,x1093,active-noncovalent
c1ccc(cc1)COc2ccc(cc2)C(=O)NN,x0281,x0281,-9.467397,x0072,active-noncovalent
C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)F)F,x0507,x0507,-9.467382,x0072,active-noncovalent
c1cnc(cc1C(=O)N)NC2CC=CC2,x0392,x0392,-9.453894,x0678,active-noncovalent
c1cc(cnc1)NC(=O)c2cnn3c2nccc3,x0373,x0373,-9.443829,x0678,active-noncovalent
c1ccc(cc1)c2ccc(cc2)CC(=O)[O-],x0046,x0046,-9.427928,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)F,x1346,x1346,-9.427633,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)F,x0719,x0719,-9.427633,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)F,x1448,x1448,-9.427633,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)F,x0793,x0793,-9.427633,x0749,active-covalent
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)Cl,x0764,x0764,-9.422290,x0749,active-covalent
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)Cl,x1416,x1416,-9.422290,x0749,active-covalent
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)Cl,x1367,x1367,-9.422290,x0749,active-covalent
