SMILES,TITLE,fragments
CC(CCC(F)F)NC(=O)Nc1cccnc1,118,x0434
O=C(Nc1cccnc1)NC1CC(O)C12CCOCC2,119,x0434
O=C(Nc1cccnc1)NC1(c2ccc(Br)cc2)CC(F)C1,120,x0434
O=C(Nc1cccnc1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,121,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1C1CCOCC1,122,x0434
O=C(Nc1cccnc1)NC1(C2CCCCO2)CCC1,123,x0434
CNC1CCC(C)(NC(=O)Nc2cccnc2)CC1,124,x0434
COC(=O)CCN(C)C(=O)CCNC(=O)Nc1cccnc1,125,x0434
O=C(NC[C@@H]1C[C@H]1C1CCOCC1)Nc1cccnc1,126,x0434
O=C(NC[C@]12C[C@H]1COC21CCC1)Nc1cccnc1,127,x0434
CC(O)(CNC(=O)Nc1cccnc1)C1CCCCO1,128,x0434
COC(=O)c1nccc2cc(NC(=O)Nc3cccnc3)ccc12,129,x0434
COC(=O)C1C[C@@H]2C[C@H](NC(=O)Nc3cccnc3)[C@@H]2C1,130,x0434
NC(=O)[C@H]1OCC[C@H]1NC(=O)Nc1cccnc1,131,x0434
O=C(NCCC1CCC2(CCOCC2)CO1)Nc1cccnc1,132,x0434
CC(CC1(O)CCOCC1)NC(=O)Nc1cccnc1,133,x0434
O=C(NCCN1CCc2c(Br)cccc21)Nc1cccnc1,134,x0434
Cc1ncc(CN2CC(NC(=O)Nc3cccnc3)C2)o1,135,x0434
COc1nsc(OC)c1CNC(=O)Nc1cccnc1,136,x0434
COC[C@H]1C[C@H](NC(=O)Nc2cccnc2)C1,137,x0434
CC(CC1(O)CCC1)NC(=O)Nc1cccnc1,138,x0434
NS(=O)(=O)C[C@H]1CC[C@@H](NC(=O)Nc2cccnc2)C1,139,x0434
COc1ccnc(C2(CNC(=O)Nc3cccnc3)CCCCC2)c1,140,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1c1ccsc1,141,x0434
O=C(Nc1cccnc1)N[C@H]1c2ccccc2OC[C@H]1CO,142,x0434
O=C(NCCCCc1c[nH]nc1C(F)(F)F)Nc1cccnc1,143,x0434
O=C(Nc1cccnc1)NC1C2Cc3c(Br)cccc3C21,144,x0434
O=C(NC[C@@H]1CC[C@H](C2CC2)O1)Nc1cccnc1,145,x0434
COC(=O)C1(NC(=O)Nc2cccnc2)CC2(CCOCC2)C1,146,x0434
C[C@H]1C[C@@H]1NC(=O)Nc1cccnc1,147,x0434
CC(C)(O)C(Cc1ccc(F)cc1)NC(=O)Nc1cccnc1,148,x0434
Cc1cccc(C(NC(=O)Nc2cccnc2)C(=O)OC(C)(C)C)c1,149,x0434
COC(=O)C(NC(=O)Nc1cccnc1)C1CC(F)(F)C1,150,x0434
CCOC(=O)Cc1nc(CNC(=O)Nc2cccnc2)no1,151,x0434
COC(=O)C1CC2CC(NC(=O)Nc3cccnc3)C2C1,152,x0434
CC(Cc1c(Cl)cccc1Cl)(NC(=O)Nc1cccnc1)C(F)(F)F,153,x0434
O=C(NCc1cc(C(F)(F)F)cs1)Nc1cccnc1,154,x0434
O=C(Nc1cccnc1)N[C@H]1C[C@@H](CF)C1,155,x0434
COCC1(CCNC(=O)Nc2cccnc2)CCOCC1,156,x0434
CC1CN(Cc2ccccc2)CCC1CNC(=O)Nc1cccnc1,157,x0434
O=C(NCc1ccn2cnnc2c1)Nc1cccnc1,158,x0434
O=C(Nc1cccnc1)NC1CCC2(CC1)COCCO2,159,x0434
O=C(Nc1cccnc1)NC1CCC(O)C2(CCCC2)C1,160,x0434
CCOC(=O)c1ccn(-c2ccc(NC(=O)Nc3cccnc3)cc2F)n1,161,x0434
O=C(Nc1cccnc1)Nc1cnoc1C1CCOCC1,162,x0434
O=C(NC[C@@H]1Cc2ccccc2CO1)Nc1cccnc1,163,x0434
Cn1nc(CNC(=O)Nc2cccnc2)c2c1CCOC2,164,x0434
CS(=O)(=O)CC1CC(NC(=O)Nc2cccnc2)C1,165,x0434
CN1CC(C)(NC(=O)Nc2cccnc2)CCC1=O,166,x0434
CC1(C(F)F)CC1NC(=O)Nc1cccnc1,167,x0434
O=C(NCCc1ocnc1CO)Nc1cccnc1,168,x0434
CC(NC(=O)Nc1cccnc1)C1CC2(CCC2)C1,169,x0434
Cc1cc(NC(=O)Nc2cccnc2)cnc1OC(F)F,170,x0434
COC(=O)[C@@H]1C[C@@H]1CNC(=O)Nc1cccnc1,171,x0434
COC(=O)[C@@H]1CC[C@@H]1NC(=O)Nc1cccnc1,172,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@@H](N2CCOCC2)C12CCC2,173,x0434
CO[C@@H]1COC[C@H]1NC(=O)Nc1cccnc1,174,x0434
O=C(NCC1(c2ccncc2F)CCC1)Nc1cccnc1,175,x0434
CC1(C)CC(NC(=O)Nc2cccnc2)CCS1(=O)=O,176,x0434
O=C(Nc1cccnc1)NC1CCCC(c2ccccc2)CC1,177,x0434
CN(C)[C@@H]1COC[C@H]1NC(=O)Nc1cccnc1,178,x0434
Cn1cc(CNC(=O)Nc2cccnc2)c(C(F)F)n1,179,x0434
CC(C)c1cc(NC(=O)Nc2cccnc2)ccc1C(F)(F)F,180,x0434
CO[C@@H]1CCCC[C@H]1CNC(=O)Nc1cccnc1,181,x0434
COc1ccc(CN2CCC2CNC(=O)Nc2cccnc2)cc1,182,x0434
COC1C(C)(C)C(NC(=O)Nc2cccnc2)C1(C)C,183,x0434
CO[C@@H]1CCCC[C@H]1NC(=O)Nc1cccnc1,184,x0434
Cn1ccnc1C1CC(NC(=O)Nc2cccnc2)CCO1,185,x0434
O=C(Nc1cccnc1)NC1COC(C2CC2)C1,186,x0434
Cc1c([C@@H]2[C@@H](NC(=O)Nc3cccnc3)CC(=O)N2C)cnn1C,187,x0434
O=C(NCC1CCN(c2ccccc2)S1(=O)=O)Nc1cccnc1,188,x0434
CC(C)(C)OC(=O)C(CNC(=O)Nc1cccnc1)C1CCC1,189,x0434
C[C@H](NC(=O)Nc1cccnc1)C(F)F,190,x0434
O=C(Nc1cccnc1)Nc1cc(F)cc(C(F)F)c1,191,x0434
O=C(NCCOC1CC1(F)F)Nc1cccnc1,192,x0434
O=C(NCC1(C2CC2)CCCO1)Nc1cccnc1,193,x0434
C[C@H]1CC[C@@](C)(CNC(=O)Nc2cccnc2)C1(C)C,194,x0434
CC(CC(F)(F)F)(NC(=O)Nc1cccnc1)c1ccccc1,195,x0434
CCC[C@@H]1C[C@H]1NC(=O)Nc1cccnc1,196,x0434
CC(C)(C)O[C@@H]1CCCC[C@H]1NC(=O)Nc1cccnc1,197,x0434
CC(NC(=O)Nc1cccnc1)c1cnsc1,198,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1c1ccc(Br)c(F)c1,199,x0434
CC(C)[C@@H]1CC[C@@H](C)C[C@]1(O)CNC(=O)Nc1cccnc1,200,x0434
NC(=O)c1coc(CNC(=O)Nc2cccnc2)n1,201,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1c1cccnc1,202,x0434
CO[C@H]1CCCC[C@@H]1NC(=O)Nc1cccnc1,203,x0434
O=C(Nc1cccnc1)Nc1ccc2c(c1)C=CCCC2,204,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1C1CCCCC1,205,x0434
O=C(Nc1cccnc1)N[C@H]1C[C@H]2CC[C@@H]1C2,206,x0434
CCN(C(C)=O)c1ccc(NC(=O)Nc2cccnc2)cn1,207,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1CO,208,x0434
O=C(Nc1cccnc1)Nc1cc2c(cc1Cl)OCCC2,209,x0434
CC(C)(C)OC(=O)CC(CNC(=O)Nc1cccnc1)C1CC1,210,x0434
C[C@@H]1C[C@H]1NC(=O)Nc1cccnc1,211,x0434
CC(NC(=O)Nc1cccnc1)C1CC(F)(F)C1,212,x0434
CCc1ncc(F)cc1NC(=O)Nc1cccnc1,213,x0434
Cc1oc2cc(F)ccc2c1CCNC(=O)Nc1cccnc1,214,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1c1c(Cl)cccc1Cl,215,x0434
CCOC(=O)C(CC1(OC)CCC1)NC(=O)Nc1cccnc1,216,x0434
COCC1(CCNC(=O)Nc2cccnc2)CCCC1,217,x0434
O=C(NCCC1CSc2ccccc2O1)Nc1cccnc1,218,x0434
O=C(NCC1CCCCC12CCC2)Nc1cccnc1,219,x0434
O=C(Nc1cccnc1)N[C@@H]1CCC[C@H](C2CC2)C1,220,x0434
O=C(NCC1CN(Cc2ccccc2)CC12CCC2)Nc1cccnc1,221,x0434
CC(C)c1ccc(NC(=O)Nc2cccnc2)cc1C(F)(F)F,222,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H]1C1CCC1,223,x0434
O=C(Nc1cccnc1)NC(c1cccs1)C1(CO)CCC1,224,x0434
CC1(CCNC(=O)Nc2cccnc2)CC1(F)Cl,225,x0434
Cc1sc2ccccc2c1CCNC(=O)Nc1cccnc1,226,x0434
CC1(C)CC(NC(=O)Nc2cccnc2)CN1Cc1ccccc1,227,x0434
CC1(C)CC(CCNC(=O)Nc2cccnc2)CO1,228,x0434
NC(=O)CC1(CNC(=O)Nc2cccnc2)CC1,229,x0434
O=C(Nc1cccnc1)NC1CCOC(c2cccs2)C1,230,x0434
CC(C)c1nc(C(CO)NC(=O)Nc2cccnc2)cs1,231,x0434
COC(=O)c1ccc(C2(CNC(=O)Nc3cccnc3)CC2)cc1,232,x0434
CN1CC(CNC(=O)Nc2cccnc2)C(=O)NC1=O,233,x0434
CS[C@@H]1CCCC[C@H]1NC(=O)Nc1cccnc1,234,x0434
O=C(NCC1(n2cccn2)CC1)Nc1cccnc1,235,x0434
O=C(Nc1cccnc1)Nc1ccc2cncc(F)c2c1,236,x0434
CC(CCNC(=O)Nc1cccnc1)C(F)F,237,x0434
C[C@@H]1[C@H](NC(=O)Nc2cccnc2)CCS1(=O)=O,238,x0434
Cc1cncc(CCNC(=O)Nc2cccnc2)n1,239,x0434
O=C(Nc1cccnc1)NC1(CO)CCC(F)(F)CC1,240,x0434
O=C(Nc1cccnc1)Nc1ccc2ncn(-c3cccc(O)c3)c(=O)c2c1,241,x0434
C=C[C@@H]1OCCC[C@H]1NC(=O)Nc1cccnc1,242,x0434
CC(C)(C)OC(=O)Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21,243,x0434
COC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)Nc1cccnc1,244,x0434
COC(=O)C(Cc1cccc(Oc2ccccc2)c1)NC(=O)Nc1cccnc1,245,x0434
CCc1nc(Sc2ccc(C#N)cc2NC(=O)Nc2cccnc2)n[nH]1,246,x0434
COC(=O)c1cc(NC(=O)Nc2cccnc2)c(O)c(OC)c1,247,x0434
O=C(Nc1cccnc1)Nc1ccc(Oc2ccc(F)c(Cl)c2)cc1C(F)(F)F,248,x0434
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)Nc1cccnc1,249,x0434
O=C(NCc1ccc(NC(=O)c2ccccc2O)cc1)Nc1cccnc1,250,x0434
N#Cc1cc(NC(=O)Nc2cccnc2)ccc1Oc1ccc(C(F)(F)F)cc1,251,x0434
COC(=O)c1cc(NC(=O)Nc2cccnc2)cc2c1Oc1ccccc1O2,252,x0434
C/C=C/CCCNC(=O)Nc1cccnc1,253,x0434
CCC(C)C(NC(=O)Nc1cccnc1)C(=O)Nc1cccc(N2CCCC2)c1,254,x0434
O=C(Nc1cccnc1)Nc1cc(Cl)ccc1NS(=O)(=O)c1ccccc1F,255,x0434
O=C(NCC1CCN(c2ncnc3[nH]ccc23)CC1)Nc1cccnc1,256,x0434
CS(=O)(=O)c1cccc(C(NC(=O)Nc2cccnc2)c2cc(F)ccc2F)c1,257,x0434
Cc1c(C(C)NC(=O)Nc2cccnc2)cnn1-c1cccc(C(F)(F)F)c1,258,x0434
O=C(Nc1cccnc1)N[C@@H]1CCCC[C@@H]1O,259,x0434
CC(NC(=O)Nc1cccnc1)c1cccc(NC(=O)Cc2ccccc2F)c1,260,x0434
CCOC(=O)c1ccn(-c2cccc(CNC(=O)Nc3cccnc3)c2)n1,261,x0434
O=C(Nc1cccnc1)Nc1ccc2oc(-c3cccc4c(Br)cccc34)nc2c1,262,x0434
O=C(NCC(c1ccc(Cl)c(Cl)c1)N1CCc2sccc2C1)Nc1cccnc1,263,x0434
O=C(Nc1cccnc1)Nc1cccc(Oc2cccc(C(F)(F)F)c2)c1,264,x0434
O=C(Nc1cccnc1)Nc1ccccc1CC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,265,x0434
CN1CCC(Oc2cc(NC(=O)Nc3cccnc3)cc(C(F)(F)F)c2)CC1,266,x0434
CCc1c(NC(=O)Nc2cccnc2)cnn1-c1cccc(C(F)(F)F)c1,267,x0434
CCOC(=O)[C@@H]1CC[C@H](NC(=O)Nc2cccnc2)C1,268,x0434
CC1(C2CC2)NC(=O)N(c2ccc(CNC(=O)Nc3cccnc3)cc2)C1=O,269,x0434
CN(CCC(F)(F)F)C(CNC(=O)Nc1cccnc1)c1ccc(Cl)cc1,270,x0434
O=C(Nc1cccnc1)N[C@@H]1CCCC[C@H]1NS(=O)(=O)C1CC1,271,x0434
CC1(C2CC2)NC(=O)N(c2cccc(CNC(=O)Nc3cccnc3)c2)C1=O,272,x0434
O=C(Nc1cccnc1)NC1CCN(C(=O)c2ccco2)c2ccccc21,273,x0434
CC(CCC(F)(F)F)(NC(=O)Nc1cccnc1)c1ccccc1,274,x0434
O=C(Nc1cccnc1)NC(c1ccccc1)c1cccc(OC(F)(F)F)c1,275,x0434
O=C(Nc1ccc(C23CC4CC(CC(O)(C4)C2)C3)cc1)Nc1cccnc1,276,x0434
COCCN(C)CCNS(=O)(=O)c1cccc(NC(=O)Nc2cccnc2)c1,277,x0434
O=C(Nc1cccnc1)NC1CC(=O)N(Cc2ccccc2C(F)(F)F)C1,278,x0434
O=C(Nc1cccnc1)NC(c1ccccc1)c1ccccc1OC(F)(F)F,279,x0434
O=C(Nc1cccnc1)NC(c1ccccc1)C1CCCc2ccccc21,280,x0434
CC(C)(C)OC(=O)CCC(Cc1ccccc1)NC(=O)Nc1cccnc1,281,x0434
CCN(CC)CC(C)NC(=O)c1ccc(NC(=O)Nc2cccnc2)cc1Cl,282,x0434
CCC(C)n1c(C(F)(F)F)nc2cc(NC(=O)Nc3cccnc3)ccc21,283,x0434
CN(CCOc1ccccc1)Cc1ccc(NC(=O)Nc2cccnc2)cc1,284,x0434
CN(C)CCCCNS(=O)(=O)c1cccc(NC(=O)Nc2cccnc2)c1,285,x0434
CC1(C)OCCC1CNC(=O)Nc1cccnc1,286,x0434
COc1cccc(C(Cc2cc(C)cc(C)c2)NC(=O)Nc2cccnc2)c1,287,x0434
O=C(Nc1cccnc1)NC1CCN(c2cccc(OC(F)(F)F)c2)C1=O,288,x0434
COC(=O)C1(NC(=O)Nc2cccnc2)COc2ccccc2C1,289,x0434
CN1CCCCCC1=NS(=O)(=O)c1cccc(NC(=O)Nc2cccnc2)c1,290,x0434
O=C(NCc1ccc(N2CCN(CC3CC3)CC2)cc1)Nc1cccnc1,291,x0434
CC1C(CNC(=O)Nc2cccnc2)N(C)CCN1C,292,x0434
O=C(Nc1cccnc1)Nc1cccc(-c2nc(-c3ccc(Cl)cc3)cs2)c1,293,x0434
O=C(Nc1ccc(S(=O)(=O)CCN2CCOCC2)cc1)Nc1cccnc1,294,x0434
O=C(Nc1cccnc1)N[C@@H](Cc1cccc(F)c1)CN1C(=O)c2ccccc2C1=O,295,x0434
CN(CCOc1cccc(CNC(=O)Nc2cccnc2)c1)C1CCOCC1,296,x0434
Nc1cc(NC(=O)Nc2cccnc2)cc(C(=O)NCc2cccnc2)c1,297,x0434
CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2cccnc2)c1,298,x0434
CNC(=O)c1cc(Oc2cc(C)ccc2NC(=O)Nc2cccnc2)ccn1,299,x0434
O=C(Nc1cccnc1)NC(Cc1c(F)cccc1Cl)c1ccccc1Br,300,x0434
CN1CCN(C(CNC(=O)Nc2cccnc2)c2ccc3c(c2)CCCN3C)CC1,301,x0434
O=C(NCc1ccc(-c2ccc3ccccc3c2)cc1)Nc1cccnc1,302,x0434
O=C(Nc1cccnc1)NC(Cc1ccc(O)cc1)c1nc2ccccc2[nH]1,303,x0434
O=C(Nc1cccnc1)NC(Cc1ccc(Cl)cc1)c1ccc(F)c(C(F)(F)F)c1,304,x0434
NS(=O)(=O)c1ccc(Oc2ccc(NC(=O)Nc3cccnc3)cc2)cc1,305,x0434
CCCOc1ccc(Oc2ncccc2CNC(=O)Nc2cccnc2)cc1,306,x0434
CCOC(=O)c1cnn(-c2ccc(NC(=O)Nc3cccnc3)cc2)c1C(F)(F)F,307,x0434
O=C(Nc1cccnc1)NC(Cc1ccc(Cl)cc1Cl)c1ccc(F)cc1,308,x0434
COc1ccc(C(NC(=O)Nc2cccnc2)c2ccccc2Cl)c(OC)c1,309,x0434
O=C(Nc1cccnc1)NC(CC1CCCC1)c1ccc(Oc2ccccc2)cc1,310,x0434
Cc1ccc(C(CCc2ccccc2)NC(=O)Nc2cccnc2)cc1F,311,x0434
O=C(Nc1cccnc1)Nc1cccc(CN2C(=O)c3ccccc3C2=O)c1,312,x0434
Cc1cccc(NC(=O)COc2ccc(CCNC(=O)Nc3cccnc3)cc2)c1,313,x0434
O=C(Nc1cccnc1)Nc1ccccc1-c1nnc(-c2ccccc2)[nH]1,314,x0434
