SMILES,TITLE,docked_fragment,site,inspiration frags,Chemgauss4
c1ccc(cc1)CCC[C@H](c2ccccc2)NC(=O)Nc3cccnc3,7850,x0434,active-noncovalent,x0434,-9.356854
Cc1ccc(c(c1)C)S(=O)(=O)NC[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,2119,x0434,active-noncovalent,x0434,-9.351728
c1ccc(cc1)C[C@@H]([C@H](C(F)F)O)NC(=O)Nc2cccnc2,12104,x0434,active-noncovalent,x0434,-9.333389
c1ccc2c(c1)[C@H](CCN2C(=O)c3ccco3)NC(=O)Nc4cccnc4,273,x0434,active-noncovalent,x0434,-9.332557
COC(=O)[C@@H]1CCc2ccccc2[C@@H]1NC(=O)Nc3cccnc3,3653,x0434,active-noncovalent,x0434,-9.329517
c1ccc(cc1)CC[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,5982,x0434,active-noncovalent,x0434,-9.322293
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)Br,2717,x0434,active-noncovalent,x0434,-9.322271
COC(=O)[C@H](c1ccc(c(c1)F)Cl)NC(=O)Nc2cccnc2,2651,x0434,active-noncovalent,x0434,-9.321538
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2cc(cc3)Br,14578,x0434,active-noncovalent,x0434,-9.320713
CCc1ccc(cc1)[C@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,7857,x0434,active-noncovalent,x0434,-9.319229
COC(=O)C[C@H]1CC[C@@H](CC1)CNC(=O)Nc2cnccc2,4413,x0434,active-noncovalent,x0434,-9.314971
c1ccc(cc1)N2CC[NH+](CC2)C3(CCOCC3)CNC(=O)Nc4cccnc4,3924,x0434,active-noncovalent,x0434,-9.310731
c1ccc(cc1)[C@H](CCC(F)(F)F)NC(=O)Nc2cccnc2,2624,x0434,active-noncovalent,x0434,-9.310223
CS(=O)(=O)c1cccc(c1)[C@H](c2cc(ccc2F)F)NC(=O)Nc3cccnc3,257,x0434,active-noncovalent,x0434,-9.306590
c1cc(cnc1)NC(=O)NC[C@H]2CCN(C2)c3ccc(c(c3)F)F,10057,x0434,active-noncovalent,x0434,-9.305569
COc1ccc(cc1)C2=NO[C@H](C2)CNC(=O)Nc3cccnc3,606,x0434,active-noncovalent,x0434,-9.303325
Cc1ccc(cc1)[C@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,13793,x0434,active-noncovalent,x0434,-9.282588
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2ccc(c3)F,12530,x0434,active-noncovalent,x0434,-9.270845
Cc1ccc2c(c1)[C@@H](CCC2)NC(=O)Nc3cccnc3,3039,x0434,active-noncovalent,x0434,-9.263224
CSc1ncc(cn1)CCNC(=O)Nc2cccnc2,10800,x0434,active-noncovalent,x0434,-9.258603
c1cc2c(c(c1)Br)CC([C@H]2NC(=O)Nc3cccnc3)(F)F,11348,x0434,active-noncovalent,x0434,-9.244645
c1ccc(cc1)[C@]2(CC2(F)F)CNC(=O)Nc3cccnc3,14253,x0434,active-noncovalent,x0434,-9.243834
Cc1cccc(c1CNC(=O)Nc2cccnc2)C,9050,x0434,active-noncovalent,x0434,-9.243484
COC(=O)[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,6697,x0434,active-noncovalent,x0434,-9.241362
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3F)F,621,x0434,active-noncovalent,x0434,-9.239706
COc1ccc2c(c1)OCC[C@H]2NC(=O)Nc3cccnc3,6496,x0434,active-noncovalent,x0434,-9.236813
CC[NH+](CC)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,12187,x0434,active-noncovalent,x0434,-9.235898
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2Cl)Cl)c3ccc(cc3)F,308,x0434,active-noncovalent,x0434,-9.233579
c1cc(cc(c1)F)C2(CCCCC2)NC(=O)Nc3cccnc3,12135,x0434,active-noncovalent,x0434,-9.232585
C[C@@H]([C@H]1CCCc2c1cccc2)NC(=O)Nc3cccnc3,10336,x0434,active-noncovalent,x0434,-9.221627
CC(C)c1ccc2c(c1)[C@@H](CCC2)NC(=O)Nc3cccnc3,12077,x0434,active-noncovalent,x0434,-9.214481
COC(=O)[C@H](c1cc(sc1)Br)NC(=O)Nc2cccnc2,1048,x0434,active-noncovalent,x0434,-9.212454
c1cc(c(c(c1)F)F)C2(CCCCC2)NC(=O)Nc3cccnc3,13883,x0434,active-noncovalent,x0434,-9.186783
Cc1nnc(n1C)[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,9977,x0434,active-noncovalent,x0434,-9.180571
c1cc(cc(c1)C(F)(F)F)[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,5894,x0434,active-noncovalent,x0434,-9.167206
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3)Br,10199,x0434,active-noncovalent,x0434,-9.166725
CC(C)c1ccccc1[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,11674,x0434,active-noncovalent,x0434,-9.162566
CCOC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,10456,x0434,active-noncovalent,x0434,-9.160175
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)OC(F)(F)F)C(F)(F)F,7802,x0434,active-noncovalent,x0434,-9.160148
CC(=O)N1CCC(CC1)CNC(=O)Nc2cccnc2,1457,x0434,active-noncovalent,x0434,-9.156403
CC(C)(C)c1ccncc1CNC(=O)Nc2cccnc2,2990,x0434,active-noncovalent,x0434,-9.146010
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)C3CCC3,2933,x0434,active-noncovalent,x0434,-9.144157
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)Cl)c3ccc(c(c3)F)F,7871,x0434,active-noncovalent,x0434,-9.139179
C#CCCC[C@H](c1ccc(cc1)Br)NC(=O)Nc2cccnc2,705,x0434,active-noncovalent,x0434,-9.138954
CC(C)(C)C[C@@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,8301,x0434,active-noncovalent,x0434,-9.131209
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)c3cccs3,14148,x0434,active-noncovalent,x0434,-9.120659
Cc1c(c(n(n1)c2ccccc2)C)[C@@H](CNC(=O)Nc3cccnc3)C(F)(F)F,13579,x0434,active-noncovalent,x0434,-9.112492
c1ccc(cc1)[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,6281,x0434,active-noncovalent,x0434,-9.109514
c1cc(cnc1)NC(=O)NCCc2ccc(cc2)I,1489,x0434,active-noncovalent,x0434,-9.105433
C[C@@H](C1CCN(CC1)C(=O)OC)NC(=O)Nc2cccnc2,4636,x0434,active-noncovalent,x0434,-9.088893
c1cc(cnc1)NC(=O)NC2(CCCCC2)C(=O)Nc3ccc(cc3)Br,358,x0434,active-noncovalent,x0434,-9.078828
CCOC(=O)[C@H](c1ccc(c(c1)Cl)Br)NC(=O)Nc2cccnc2,4190,x0434,active-noncovalent,x0434,-9.078321
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)Cl)C(F)(F)F,6620,x0434,active-noncovalent,x0434,-9.075134
c1cc(cc(c1)Cl)[C@@H](c2ccc(cc2)OC(F)(F)F)NC(=O)Nc3cccnc3,5895,x0434,active-noncovalent,x0434,-9.072962
Cc1cc(cc(c1)C[C@@H](c2cccc(c2)OC)NC(=O)Nc3cccnc3)C,287,x0434,active-noncovalent,x0434,-9.070800
c1ccc(cc1)[C@@H](CCc2cccc(c2)F)NC(=O)Nc3cccnc3,13651,x0434,active-noncovalent,x0434,-9.066410
CC(C)(CNC(=O)Nc1cccnc1)c2ccc(cc2Cl)Br,6508,x0434,active-noncovalent,x0434,-9.063779
