smiles,Mpro-x0072_dock,Mpro-x0104_dock,Mpro-x0107_dock,Mpro-x0161_dock,Mpro-x0195_dock,Mpro-x0305_dock,Mpro-x0354_dock,Mpro-x0387_dock,Mpro-x0395_dock,Mpro-x0397_dock,Mpro-x0426_dock,Mpro-x0434_dock,Mpro-x0540_dock,Mpro-x0678_dock,Mpro-x0874_dock,Mpro-x0946_dock,Mpro-x0967_dock,Mpro-x0991_dock,Mpro-x0995_dock,Mpro-x1077_dock,Mpro-x1093_dock,Mpro-x1249_dock
CCc1sc(cc1C)C(=O)N1CCCC(C1)c1n[nH]c(c1)C(=O)N,,,,,,-12.609447479248047,,,,,,,,,,,,,,,,
CCc1scc(n1)C(NC(=O)c1cncc(c1)Br)C,,,,,,,,,,-10.78471565246582,,,,,,,,,,,,
CCn1c(C)cc(c1C)C(=O)N1CCCC(C1)c1ccn[nH]1,,,,,,,,,,,,,,,,-11.685785293579102,,,,,,
CCn1c(c2ccccc2)c(c2c1cccc2)C(=O)CSc1nncn1C,,,,-12.616512298583984,,,,,,,,,,,,,,,,,,
CCn1ccnc1[C@@H]1OCCC[C@H]1c1onc(n1)c1cncnc1N,,,,,,,,,,,-10.519484519958496,,,,,,,,,,,
CN(C(=O)c1cc2c([nH]1)ccs2)C(c1ccncc1)C,,,,,,,,,,,,,-9.904397010803224,,,,,,,,,
CN(C(=O)c1nn2c(n1)nccc2C)C(c1ccc(cc1)n1cncn1)C,,,,,,,,,,,,-11.801499366760256,,,,,,,,,,-12.7115478515625
CN(C(=O)c1noc(c1)c1ccco1)Cc1nc2c([nH]1)cccc2,,,-11.700968742370605,,,,,,,,,,,,,,,,,,,
CN(C(C(C)(C)C)C)C(=O)c1cccnc1,,,,,,,,,,,,,-10.03104019165039,,,,,,,,,
CN(C(c1cscc1)CNC(=O)c1cccnc1O)C,,,,,,,,,,-10.692873001098633,,,,,,,,,,,,
CN(C1CCCN(CC1)C(=O)c1cc[nH]n1)Cc1ccccn1,-11.622880935668945,,,,,,,,,,,,,,,,,,,,,
CN(CCN(C(=O)Cc1cccnc1)CC1CCCCC1)C,,,,,,,,,,,,,,,,,,,,,-12.545808792114258,
CN(c1ccc2c(c1)ccc([n+]2C)/C=C/c1cc(n(c1C)c1ccccc1)C)C,,,,-12.75652313232422,,,,,,,,,,,,,,,,,,
CN(c1nc(nc2c1cccc2)c1cccnc1)CCc1ccccn1,,,,,,,,,,,,,,,,,,,,-12.800884246826172,,
CN1CCN(CC1)c1ccc(cc1C(NCc1cccnc1)C)F,,,,,,,,,,,,,,,,,,,-11.010894775390623,,,
CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O,,,,,-12.349836349487305,,,,,,,,,,,,,,,,,
CNC(=O)C1CN(Cc2cc(F)cc3c2nccc3)c2c(O1)cccc2,,,,,,,-11.73463535308838,,,,,,,,,,,,,,,
CNC(=O)NC(=O)C(N1CCC(CC1)c1c[nH]nc1)C,,,,,,,-11.990188598632812,,,,,,,,,,,,,,,
CNC(=O)c1[nH]nc(n1)C1CCN(CC1)C(c1ccccc1F)C,,,,,,,,,,,,,,,,,-12.336875915527346,,,,,
CNC(=O)c1cccc(n1)NC(=O)NC1CCCC=C1,,,,,,,,,,,,,,,,,,,,,-12.091474533081055,
CNCCNS(=O)(=O)c1cccc2c1ccnc2,,,,,,,,,,,,,-11.345236778259276,,,,,,,,,
CNc1ccccc1C(=O)N1CCC(CC1)Cc1nc2c([nH]1)cccc2,,-12.440465927124025,,,,,,,,,,,,,,,,,,,,
COC(=O)C(c1ccccc1)(CNC(=O)c1cccnc1)C,,,,,,,,,,,,,,-12.65804672241211,,,,,,,,
COC(=O)C1(CNC(=O)c2nn3c(c2)nccc3)CC1,,,,,,,,,,,,,,-12.26509952545166,,,,,,,-12.557085037231445,
COCCNc1nc(Nc2ccc(cc2)F)nc2c1nccn2,,,,,,,,,,,,,,-12.682737350463867,,,,,,,,
COCc1cc(O)cc2c1O[C@@H](c1ccc(cc1)O)[C@@H]1[C@H]2CC(C1)(F)F,,,,,-11.729488372802734,,,,,,,,,,,,,,,,,
COCc1n[nH]c(n1)[C@H]1CN(C[C@@H]1C1CC1)C(=O)c1[nH]nc(c1)CC,,,,,,,-11.799406051635742,,,,,,,,,,,,,,,
CO[C@@H]1CN(C[C@H]1c1nn[nH]c1)Cc1ccc(o1)c1ccc(cc1C)F,,-12.96484661102295,,,,-12.394598960876465,,,,,,,,,,,,,,,,
CO[C@@H]1CN(C[C@H]1c1nn[nH]c1)Cc1ccc(o1)c1ccccc1Cl,,-12.746023178100586,,,,,,,,,,,,,,,,,,,,
CO[C@@H]1CN([C@@H](C1)C(=O)N)C(=O)Cc1c[nH]c2c1cccc2CC,,,,,,,-12.014123916625975,,,,,,,,,,,,,,,
CO[C@@H]1C[C@H](N(C1)C(=O)c1[nH]ccc1C)COc1cccnc1,,,-11.401229858398438,,,,,,,,,,,,,,,,,,,
CO[C@@H]1C[C@H](N(C1)C(=O)c1cc2c([nH]1)cccc2)COc1cccnc1,,,-11.26304817199707,,,,,,,,,,,,,,,-11.168136596679688,,,,
CO[C@@H]1C[C@H](N(C1)C(=O)c1cc[nH]c1C)COc1cccnc1,,,-11.387398719787598,,,,,,,,,,,,,,,,,,,
CO[C@@H]1C[C@H](N(C1)C(=O)c1ccoc1C1CC1)COc1cccnc1,,,-11.445589065551758,,,,,,,,,,,,,,,-11.235431671142578,-11.228641510009766,,,
CO[C@@H]1C[C@H](N(C1)S(=O)(=O)c1cccnc1)c1[nH]c(c(n1)C)C,-11.647308349609375,,,,,,,,,,,,,,-12.355165481567385,,,,,,,-12.345085144042967
CO[C@@H]1C[C@H](N(C1)S(=O)(=O)c1cncc(c1)F)c1[nH]c(c(n1)C)C,,,,,,,-11.932744026184082,-10.615119934082033,,,,,,,,,,,,,,
CO[C@@H]1C[C@H](N(C1)c1cccc(n1)C#N)COc1cccnc1,,,,-12.959636688232422,,,,,,,,,,,,,,,,,,
CO[C@@H]1C[C@H](N(C1)c1ncccn1)COc1cccnc1,,,-11.399144172668455,,,,,-10.463379859924316,,,,,,,,,,-11.052891731262207,-11.22784423828125,,,
COc1c(OC)cccc1C(=O)N1CCC(=CC1)c1c[nH]c2c1cccn2,,,-11.282575607299805,,,,,,,,,,,,,,,,,,,
COc1cc(C=Cc2ccc3c(n2)c(O)c(cc3Cl)Cl)ccc1OCC(=O)O,,,,-13.060357093811035,,,,,,,,,,,,,,,,,,
COc1ccc(c(c1)C(=O)N1CCN(CC1)Cc1nc2ccccc2c(=O)[nH]1)O,,-12.385022163391113,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1)C1CC(N(C1)S(=O)(=O)c1cccnc1)C,,,,,,-12.335269927978516,,,-11.89732551574707,,-10.56635856628418,,,,,,,,,-12.481739044189453,,-12.6627779006958
COc1ccc(cc1)N1C(Nc2c(C1=O)cccc2)c1cccnc1,,,,,,,,,,-10.630361557006836,,,,,,,,,,,,
COc1ccc(cc1)NC(=O)NC(c1ccc(cc1)n1cncc1)C,,,,,,,,-10.609898567199707,,,,,,,,,,,,,,
COc1ccc(cc1)c1csc2c1c(=O)[nH]c(n2)c1cccnc1,,,,,,,,-10.7862548828125,,,,,,,,,,,,,,
COc1ccc(cc1)c1n[nH]c(c1c1nc2c(n1C)cccc2)c1ccccc1,-12.24492073059082,,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1Cl)NC(=O)C(c1ccccc1)Sc1ncnc2c1ccs2,,,,,,,-12.462242126464846,,,,,,,,,,,,,,,
COc1ccc(cc1OC)C(=O)N1CCN(CC1)Cc1nc2ccccc2c(=O)[nH]1,,-12.723200798034668,,,,,,,,,,,,,,,,,,,,
COc1ccc(nn1)NC(=O)c1ccccc1CCc1ccccc1,-12.046714782714846,,,,,,,,,,,,,,,,,,,,,
COc1ccc2c(c1)CCCC2CC(=O)NC(C(=O)N)C(=O)N,,,,,-12.295196533203125,,,,,,,,,,,,,,,,,
COc1ccc2c(c1)CCCC2CNc1cn[nH]c(=O)c1Cl,,,-11.67995548248291,,,,,,,,-11.067548751831056,,,,,,-12.199477195739744,,-10.82275390625,,,
COc1ccc2c(c1)c(c[nH]2)C1=CCN(CC1)C(=O)c1cnccn1,,,,,,,,,,,,,,,,,,-11.108168601989746,,,,
COc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C(=O)c1ccnnc1,,,,,,,,,,,,,,,,,,-11.6141357421875,,,,
COc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C(c1cnccn1)C,,,,,,-12.390707969665527,,,-11.53283405303955,,,,,,,,,-12.74469757080078,,,,-11.98550033569336
