SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,docked_fragment
Cc1cccc(c1)CC2CCN(CC2)C(=O)[CH2-],MAK-UNK-af8-6,930_NCL.0,5,"x0759,x0831,x0830,x0692,x0770",1926.2234024541217,x0161
[CH2-]C(=O)Nc1c(c(cs1)C#N)CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-6,480_ACL.0,1,x1420,1925.6203619683504,x1418
[CH2-]C(=O)Nc1c(c(cs1)C#N)CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-6,480_ACL.0,0,,1920.8132376080753,x1386
[CH2-]CC(=O)N1CC[N@](C[C@@H]1c2ccccc2)Cc3cccc(c3)Cl,DAN-LON-a5f-5,1041_NCL2ACR.0,0,,1918.2814911060739,x0770
[CH2-]C(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL.0,0,,1916.9982845820007,x0692
[CH2-]C(=O)N1CC[N@@](C[C@@H]1Oc2ccc(cc2)F)S(=O)(=O)c3ccc(s3)Cl,SAL-INS-1ea-2,2424_NCL.0,2,"x1334,x1412",1916.5981815375017,x1358
C[C@H](C1=CC(=C[C@H]2[C@@H]1CC=N2)Cl)NC(=O)C[CH2-],DAV-CRI-eab-7,256_NCL2ACR.0,2,"x1420,x1392",1915.2074763206008,x0831
[CH2-]C(=O)N1CC[C@H]2CC[c-]3[cH-][c-]([nH][c-]3N2C1)S(=O)(=O)N,HAN-UNI-e16-1,309_ACL.0,0,,1912.4130800006567,x0104
CCn1[cH-][c-]([c-]2[c-]1[cH-][cH-][c-]([cH-]2)[C+]=[NH2+])CCNC(=O)C,PET-SGC-708-1,1605_NIT.0,0,,1910.7046230302258,x0104
[CH2-]CC(=O)N1CCN(C[C@@H]1CC(=O)N)C(=O)CCl,DAN-PUR-390-1,2120_ACL2ACR.0,3,"x0734,x1375,x1311",1897.2483722385218,x1311
C[C@@H]1[C@H](OCCN1c2cc(c(nc2)[C+]=[NH2+])C(=O)Nc3ccccc3)C,JOH-UNI-522-13,1937_NIT.0,0,,1896.225858283711,x1077
Cc1cccc(c1)CC2CCN(CC2)C(=O)C[CH2-],MAK-UNK-af8-6,930_NCL2ACR.0,0,,1896.2253457749257,x0692
CC(=O)C(=O)C1=C[C@@-]2[C@H](C1)C(=O)N=[S@]2(=O)C(=O)C,WIL-LEE-364-19,2161_ACR.0,0,,1894.7824132582768,x0072
[CH2-]C(=O)N(c1ccc(cc1CC2=NC=[NH+][CH+]2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-10,2463_NCL.0,0,,1892.03151732408,x0734
CCO[C@@H]1CC[C@@H](c2c1sc(c2)C(=O)N)[C+]=[NH2+],DOU-UNK-b53-13,867_NIT.0,0,,1890.7058591811924,x0107
[CH2-]C(=O)Nc1c(c(cs1)C#N)CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-6,480_ACL.0,0,,1886.243580690306,x0305
C[C@H]1COCCN1c2cc(c(nc2)[C+]=[NH2+])C(=O)Nc3ccccc3,JOH-UNI-522-12,1936_NIT.0,0,,1881.0295357956652,x1077
[CH2-]C(=O)N1Cc2ccccc2[C@@H](C1)c3cccc(c3)F,DAR-DIA-cab-1,539_NCL.0,2,"x1420,x1392",1881.0189820044716,x1392
C[C@@H]1CN(CCO1)c2cc(c(nc2)[C+]=[NH2+])C(=O)Nc3ccccc3,JOH-UNI-522-11,1935_NIT.0,1,x0734,1880.9404913859873,x1077
Cc1ccc(cc1)N([C@@H]2CS(=O)(=O)C=C2)C(=O)N(C3=CNCC=C3C)C(=O)[CH2-],SEL-UNI-842-1,1354_ACL.0,0,,1880.8969603019032,x1478
[CH2-]C(=O)N1CCO[C@@H]([C@@H]1Nc2cccnc2)c3ccc(cc3)F,FOC-CAS-e3a-1,297_NCL.0,2,"x1420,x1392",1878.4962980304433,x0107
[CH2-]CC(=O)N1Cc2ccccc2[C@@H](C1)c3cccc(c3)C#N,NIR-THE-c33-2,623_NCL2ACR.0,2,"x0734,x1375",1877.624485527628,x1420
CC(C)[C@@H]1C[N@@](CCN1C(=O)C[CH2-])Cc2cccc(c2)Cl,DAN-LON-a5f-4,1040_NCL2ACR.0,1,x1336,1877.2787191947373,x0770
[CH2-]C(=O)N1CCN(CC1)Cc2cc(cc3c2cccc3)F,DAR-DIA-fb2-2,39_NCL.0,5,"x1418,x0831,x0830,x0692,x0770",1876.8698857154002,x0830
c1c(c(c(s1)NCO)CN2CCN(CC2)C(=O)CCl)[C+]=[NH2+],DAV-CRI-d1e-5,479_NIT.0,0,,1876.8459701573104,x0305
[CH2-]CC(=O)N(CC1=[N+](N=N[CH+]1)Cc2ccc(cc2)Cl)[C@@H]3CCS(=O)(=O)C3,NIM-UNI-bb6-1,711_NCL2ACR.0,0,,1875.4165648234473,x1374
[CH2-]CC(=O)N(CC1=[N+](N=N[CH+]1)Cc2ccc(cc2)Cl)[C@@H]3CCS(=O)(=O)C3,NIM-UNI-594-2,1874_NCL2ACR.0,0,,1875.4165648234473,x1374
[CH2-]CC(=O)N(CC1=[N+](N=N[CH+]1)Cc2ccc(cc2)Cl)[C@@H]3CCS(=O)(=O)C3,NIM-UNI-022-1,2733_ACL2ACR.0,0,,1875.4165648234473,x1374
[CH2-]C(=O)N1CCN(CC1)[C@@H]2CCNc3c2cc(cc3)Cl,KIM-UNI-7d1-4,1459_ACL.0,3,"x0734,x1458,x0820",1874.9713416563031,x0770
[CH2-]CC(=O)N(c1cccnc1)[C@H]2CCS(=O)(=O)C2,DAN-PUR-390-3,2122_NCL2ACR.0,2,"x1420,x1392",1872.7132238077063,x1493
[CH2-]CC(=O)N1CC[N@]([C@H](C1)C2=[NH+]C=N[CH+]2)Cc3[cH-]cc([s+]3)Br,SAL-INS-1c7-12,2465_NCL2ACR.1,3,"x0769,x0734,x0755",1872.0818140030387,x1385
[CH2-]C(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL.0,0,,1870.940299901549,x1386
[CH2-]C(=O)N1Cc2ccccc2[C@@H](C1)c3cccc(c3)F,DAR-DIA-cab-1,539_NCL.0,2,"x1412,x1336",1870.5918826684006,x1249
c1ccc(c(c1)[C+]=[NH2+])NC(=O)Cc2cccnc2,ANT-DIA-3c7-2,2113_NIT.0,0,,1865.1618725108688,x0387
